,Accuracy,MCC,AUC,F1,Recall,Specificity,Precision,PosPredRate,n
gender=0,0.743,0.455,0.82,0.797,0.757,0.715,0.84,0.598,366.0
gender=1,0.8,0.381,0.788,0.875,0.85,0.565,0.901,0.777,390.0
