,Accuracy,MCC,AUC,F1,Recall,Specificity,Precision
Logistic Regression,0.863,0.67,0.904,0.903,0.883,0.81,0.925
Neural Network,0.85,0.601,0.87,0.901,0.946,0.595,0.861
Decision Tree,0.765,0.518,0.832,0.82,0.739,0.833,0.921
LASSO,0.791,0.499,0.882,0.852,0.829,0.69,0.876
Random Forest,0.791,0.42,0.888,0.873,0.991,0.262,0.78
kNN,0.765,0.316,0.838,0.855,0.955,0.262,0.774
Naive Bayes,0.673,0.274,0.712,0.757,0.703,0.595,0.821
