,Accuracy,MCC,AUC,F1,Recall,Specificity,Precision,PosPredRate,n
gender=0,0.84,0.654,0.957,0.887,0.81,0.944,0.981,0.642,81.0
gender=1,0.875,0.713,0.877,0.909,0.882,0.857,0.938,0.667,72.0
